Campaign_ID,Company,Campaigns,Channels,Acquisition_Cost,ROI,Performance_level,Clicks,Impressions,Conversions,Conversion_Rate,Engagement_Score,Customer_Segment,Gender,Age,Location,Started_day,Duration_days,End_day,Month,Month_fullname,Mon_name
1,Innovate Industries,Email,Google Ads,16174,6.29,Good,506,1922,20,0.04,6,Health & Wellness,Men,18-24,Chicago,2021-01-01,30,2021-01-31,1,January,Jan
2,NexGen Systems,Email,Google Ads,11566,5.61,Good,116,7523,14,0.12,7,Fashionistas,Women,35-44,New York,2021-01-02,60,2021-03-03,1,January,Jan
3,Alpha Innovations,Influencer,YouTube,10200,7.18,Excellent,584,7698,41,0.07,1,Outdoor Adventurers,Men,25-34,Los Angeles,2021-01-03,30,2021-02-02,1,January,Jan
4,DataTech Solutions,Display,YouTube,12724,5.55,Good,217,1820,24,0.11,7,Health & Wellness,Both,All ages,Miami,2021-01-04,60,2021-03-05,1,January,Jan
5,NexGen Systems,Email,YouTube,16452,6.5,Good,379,4201,19,0.05,3,Health & Wellness,Men,25-34,Los Angeles,2021-01-05,15,2021-01-20,1,January,Jan
6,DataTech Solutions,Display,Instagram,9716,4.36,Good,100,1643,7,0.07,1,Foodies,Both,All ages,New York,2021-01-06,15,2021-01-21,1,January,Jan
7,NexGen Systems,Email,Website,11067,2.86,Poor,817,8749,106,0.13,10,Tech Enthusiasts,Women,35-44,Los Angeles,2021-01-07,60,2021-03-08,1,January,Jan
8,DataTech Solutions,Search,Google Ads,13280,5.55,Good,624,7854,50,0.08,7,Outdoor Adventurers,Men,18-24,Los Angeles,2021-01-08,45,2021-02-22,1,January,Jan
9,Alpha Innovations,Social Media,Facebook,18066,6.73,Good,861,1754,77,0.09,6,Tech Enthusiasts,Women,35-44,Chicago,2021-01-09,15,2021-01-24,1,January,Jan
10,TechCorp,Email,Instagram,13766,3.78,Poor,642,3856,58,0.09,3,Tech Enthusiasts,Women,35-44,Los Angeles,2021-01-10,15,2021-01-25,1,January,Jan
11,NexGen Systems,Display,Email,8590,3.49,Poor,321,6628,39,0.12,10,Tech Enthusiasts,Men,25-34,New York,2021-01-11,45,2021-02-25,1,January,Jan
